manufacturer,country,model,year,propulsion,0_60_mph_sec,0_100_kmh_sec,0_100_mph_sec,0_200_kmh_sec,quarter_mile_sec,top_speed_mph,top_speed_kmh,power_hp,power_kw,torque,engine,nurburgring_lap_sec,nurburgring_date,nurburgring_driver,top_gear_lap_sec,top_gear_episode,sources
Porsche,DE,"Panamera Turbo S (970, pre-facelift, 2012, 4.8 TT, 550 PS)",,,,,,,,,,,,,,472.0,2012,Horst von Saurma,,,nurburgring
Porsche,DE,"Panamera Turbo S (971.2, 2020)",,,,,,,,,,,,,,449.81,2020-07-24,Lars Kern,,,nurburgring
Porsche,DE,"Panamera Turbo S E-Hybrid (976, 2024)",,,,,,,,,,,,,,444.172,2024-07-12,Lars Kern,,,nurburgring
Porsche,DE,Taycan Turbo,2020,Electric,2.9,,,,,,,,,,,462.34,2019-08,Lars Kern,,,"acceleration, nurburgring"
Porsche,DE,Taycan Turbo GT,2025,Electric,1.898,,,,9.06,,,,,,,427.55,2024-01-02,Lars Kern,74.3,,"acceleration, nurburgring, top_gear"
Porsche,DE,Taycan Turbo S (2023),2020,Electric,2.4,2.6,,,10.3,,,,,,,453.35,2022-04-11,Lars Kern,77.6,"Series 28, Episode 03","acceleration, nurburgring, top_gear"
Praga,CZ,Bohema,,,,,,,,,,,,,,,,,69.8,Drivetribe,top_gear
Prodrive,GB,P2 (concept),,,,,,,,,,,,,,,,,84.3,"Series 08, Episode 05",top_gear
RacingLine,GB,Mk8 Golf R,,,,,,,,,,,,,,,,,83.5,Ben Collins Drives,top_gear
Radical,GB,SR8,,,,,,,,,,,,,,415.0,2005-09-28,Michael Vergers,,,nurburgring
Radical,GB,SR8 LM,,,,,,,,,,,,,,412.7,2009-08-19,Michael Vergers,,,nurburgring
Range Rover,GB,Sport,,,,,,,,,,,,,,,,,89.4,"Series 20, Episode 06",top_gear
Range Rover,GB,Sport SVR (2015),,,,,,,,,,,,,,494.0,2014-05,,,,nurburgring
Range Rover,GB,Sport Supercharged (2010),,,,,,,,,,,,,,535.0,2009,Paul Wijgaertz,,,nurburgring
Renault,FR,"Avantime (written as ""Our Car"" - post-tuning by presenters)",,,,,,,,,,,,,,,,,95.4,"Series 12, Episode 03",top_gear
Renault,FR,"Avantime (written as ""Our Car"" - pre-tuning by presenters)",,,,,,,,,,,,,,,,,102.5,"Series 12, Episode 03",top_gear
Renault,FR,Clio 200 Cup (Not Shown on TV),,,,,,,,,,,,,,,,,94.0,"Series 17, Episode 02",top_gear
Renault,FR,"Clio IV RS 1.6 16V Turbo EDC (Mk4, 2013)",,,,,,,,,,,,,,539.0,2013,Horst von Saurma,,,nurburgring
Renault,FR,"Clio R.S. 220 Trophy (Mk4, 1-st facelift, 1.6 T, 220 PS)",,,,,,,,,,,,,,503.0,2016,Christian Gebhardt,,,nurburgring
Renault,FR,Clio V6,,,,,,,,,,,,,,529.0,2001,Horst von Saurma,,,nurburgring
Renault,FR,"Clio V6 Sport (very wet, spin before finishline)",,,,,,,,,,,,,,,,,96.2,"Series 02, Episode 05",top_gear
Renault,FR,Laguna,,,,,,,,,,,,,,,,,105.0,"Series 01, Episode 04",top_gear
Renault,FR,"Megane II Trophy ""Sport Auto"" Edition (Mk2, 2005, 225 PS)",,,,,,,,,,,,,,518.0,2005,Horst von Saurma,,,nurburgring
Renault,FR,"Megane III RS (Mk III, 2011, 250 PS)",,,,,,,,,,,,,,509.0,2011,Horst von Saurma,,,nurburgring
Renault,FR,"Megane IV RS (Mk IV, 2019, 280 PS)",,,,,,,,,,,,,,492.0,2019,Christian Gebhardt,,,nurburgring
Renault,FR,Mégane 225,,,,,,,,,,,,,,,,,94.0,"Series 05, Episode 06",top_gear
Renault,FR,Mégane III RS 275 Trophy-R,,,,,,,,,,,,,,474.36,2014-06-16,Laurent Hurgon,,,nurburgring
Renault,FR,Mégane IV R.S. Trophy-R,,,,,,,,,,,,,,460.1,2019-04-05,Laurent Hurgon,,,nurburgring
Renault,FR,Mégane IV R.S. Trophy-R (No. 25 of 500),,,,,,,,,,,,,,475.12,2019,Christian Gebhardt,,,nurburgring
Renault,FR,Mégane R26.R,,,,,,,,,,,,,,,,,88.1,"Series 13, Episode 04",top_gear
Renault,FR,Mégane RS R26.R,,,,,,,,,,,,,,496.9,2008-06-23,Vincent Baylé,,,nurburgring
Renault,FR,Mégane Renault Sport 265 Trophy,,,,,,,,,,,,,,487.97,2011-06-17,Laurent Hurgon,,,nurburgring
Renault,FR,Mégane RenaultSport Cup 265,,,,,,,,,,,,,,,,,87.7,"Series 19, Episode 04",top_gear
Renault,FR,Mégane Sport,,,,,,,,,,,,,,,,,87.0,"Series 26, Episode 03",top_gear
Renault,FR,Twingo GT (very wet),,,,,,,,,,,,,,,,,109.2,"Series 24, Episode 04",top_gear
Renaultsport,FR,Clio 200,,,,,,,,,,,,,,,,,92.0,"Series 20, Episode 01",top_gear
Renaultsport,FR,Mégane 225 Cup,,,,,,,,,,,,,,,,,92.3,"Series 06, Episode 09",top_gear
Rimac,HR,Nevera,2022,,,,,,,,,1888.0,1408.0,,,425.298,2023-08-18,Martin Kodrić,,,"nurburgring, power_output"
Rimac,HR,Nevera R,2025,,,,,,,,,2079.0,1550.0,,,,,,,,power_output
Rivian,US,R1S (Quad Motor),2025,Electric,2.6,,,,10.5,,,,,,,,,,,,acceleration
Rivian,US,R1T/Rivian R1S Quad-Motor,2021,,,,,,,,,835.0,623.0,,,,,,,,power_output
Roush,US,Mustang,,,,,,,,,,,,,,,,,88.0,"Series 09, Episode 06",top_gear
Ruf,DE,BTR,1983,,,,,,,190.0,305.0,,,,"3,367 cc (205.5 cu in) turbocharged flat-6 275 kW (374 PS; 369 hp)",,,,,,speed_records
Ruf,DE,CTR,1987,,,,,,,213.0,342.0,,,,"3,367 cc (205.5 cu in) twin-turbocharged flat-6 345 kW (469 PS; 463 hp)",,,,,,speed_records
Ruf,DE,Rt 12,,,,,,,,,,,,,,455.0,2008,Horst von Saurma,,,nurburgring
SEAT,ES,León Cupra MK2,,,,,,,,,,,,,,,,,93.5,,top_gear
SEAT,ES,León Cupra R,,,,,,,,,,,,,,,,,92.9,"Series 05, Episode 06",top_gear
SEAT,ES,León Cupra R Mk1,,,,,,,,,,,,,,523.3,2010-08-07,Øistein Helland,,,nurburgring
SEAT,ES,León Mk3 Cupra,,,,,,,,,,,,,,478.4,2014-03,Jordi Gené,,,nurburgring
SSC,US,Tuatara,2021,,,,,,,282.9,455.3,1750.0,1305.0,,"5,900 cc (360 cu in) twin-turbocharged V8 1,300 kW (1,770 PS; 1,750 hp) when on E85 fuel",,,,,,"power_output, speed_records"
SSC,US,Ultimate Aero,2007,,,,,,,256.14,412.22,,,,"6,345 cc (387.2 cu in) twin-turbocharged V8 882 kW (1,200 PS; 1,183 hp)",,,,,,speed_records
SSC,US,Ultimate Aero TT,2009,,,,,,,,,1287.0,960.0,,,,,,,,power_output
Saab,SE,9-5 Aero,,,,,,,,,,,,,,,,,97.9,"Series 03, Episode 03",top_gear
Seat,ES,"Leon Cupra (Mk3, 5F, 2015, 2.0 T, 280 PS)",,,,,,,,,,,,,,494.0,2015,Horst von Saurma,,,nurburgring
Shelby,US,Cobra Mk. III 427 Competition,1965,,,,,,,,,485.0,362.0,,,,,,,,power_output
Skoda,CZ,Fabia VRS,,,,,,,,,,,,,,,,,106.9,"Series 04, Episode 08",top_gear
Skoda,CZ,Octavia VRS Estate Mk IV,,,,,,,,,,,,,,,,,92.3,—N/a,top_gear
Smart,DE,Fortwo Brabus (very wet),,,,,,,,,,,,,,,,,109.1,"Series 24, Episode 04",top_gear
Spyker,NL,C8 Spyder (with hard top),,,,,,,,,,,,,,,,,87.3,"Series 04, Episode 07",top_gear
Subaru,JP,"BRZ Final Edition (Mk1, ZN6/ZC6, 2020, N/A 2.0, 200 PS)",,,,,,,,,,,,,,523.6,2020-11-19,Christian Gebhardt,,,nurburgring
Subaru,JP,"Impreza GT Turbo (GC8G (Mk1, 2000, 218 PS))",,,,,,,,,,,,,,517.0,2000,Horst von Saurma,,,nurburgring
Subaru,JP,Impreza WRX (Europe-spec),,,,,,,,,,,,,,,,,99.0,"Series 01, Episode 02",top_gear
Subaru,JP,Impreza WRX STI,,,,,,,,,,,,,,,,,88.2,"Series 11, Episode 02",top_gear
Subaru,JP,Impreza WRX STI WR1,,,,,,,,,,,,,,,,,89.4,"Series 04, Episode 04",top_gear
Subaru,JP,Impreza WRX STi,,,,,,,,,,,,,,,,,90.1,"Series 02, Episode 06",top_gear
Subaru,JP,"Impreza WRX STi (GD, 2004, 265 PS)",,,,,,,,,,,,,,504.0,2004,Horst von Saurma,,,nurburgring
Subaru,JP,Impreza WRX STi Sedan (2011) Prototype,,,,,,,,,,,,,,475.0,2010-04-16,Tommi Mäkinen,,,nurburgring
Subaru,JP,WRX STI Type RA NBR Special,,,,,,,,,,,,,,417.578,2017-07-21,Richie Stanaway,,,nurburgring
Subaru,JP,"WRX STi (Mk4, VA, facelift, 2015, 2.5 T, 300 PS)",,,,,,,,,,,,,,508.0,2015,Christian Gebhardt,,,nurburgring
Subaru,JP,WRX STi Spec-C,,,,,,,,,,,,,,486.01,2004,Motoharu Kurosawa,,,nurburgring
Suzuki,JP,500,,,,,,,,,,,,,,502.2,1980-08-24,,,,nurburgring
Suzuki,JP,GSX-R1000 vs Aprilia RSV1000R,,,,,,,,,,,,,,470.0,2002,,,,nurburgring
Suzuki,JP,GSX-R1000K7,,,,,,,,,,,,,,455.7,n/a,,,,nurburgring
Suzuki,JP,GSXR 1000,,,,,,,,,,,,,,466.7,2008-05,,,,nurburgring
Suzuki,JP,Liana,,,,,,,,,,,,,,,,,104.4,"Series 08, Episode 02",top_gear
Suzuki,JP,Liana (Driven by Black Stig),,,,,,,,,,,,,,,,,106.0,"Series 01, Episode 01",top_gear
TMG,JP,EV P001,,,,,,,,,,,,,,467.794,2011-08,Jochen Krumbach,,,nurburgring
TR,GB,Speed 12 (wet),,,,,,,,,,,,,,,,,97.9,DRIVETRIBE,top_gear
TVR,GB,Sagaris,,,,,,,,,,,,,,,,,84.6,"Series 06, Episode 07",top_gear
TVR,GB,T350C,,,,,,,,,,,,,,,,,87.5,"Series 02, Episode 10",top_gear
TVR,GB,Tuscan 2S,,,,,,,,,,,,,,,,,86.4,—N/a,top_gear
TVR,GB,Tuscan Mk.II,,,,,,,,,,,,,,,,,84.8,"Series 06, Episode 03",top_gear
Tesla,US,Cybertruck Cyberbeast,2024,,,,,,,,,845.0,630.0,,,,,,,,power_output
Tesla,US,Model 3 AWD Performance,,,,,,,,,,,,,,,,,81.5,"Series 27, Episode 02",top_gear
Tesla,US,Model 3 Performance,2019,Electric,2.998,,,,,,,,,,,491.72,2020,,,,"acceleration, nurburgring"
Tesla,US,Model S P100D,2017,Electric,2.28,,,,10.51,,,,,,,,,,,,acceleration
Tesla,US,Model S P85D,,,,,,,,,,,,,,530.0,2015,,,,nurburgring
Tesla,US,Model S P90D w/Ludicrous Speed Upgrade,2015,Electric,2.6,,,,10.8,,,,,,,,,,,,acceleration
Tesla,US,Model S Performance w/Ludicrous Mode,2020,Electric,2.4,2.9,,,,,,,,,,,,,,,acceleration
Tesla,US,Model S Plaid,2021,Electric,1.98,2.5,,,,,,,,,,455.579,2021-09-09,Andreas Simonsen,,,"acceleration, nurburgring"
Tesla,US,Model S Plaid Track Package,,,,,,,,,,,,,,445.231,2023-06-02,Tom Schwister,,,nurburgring
Tesla,US,Model S Plaid/Tesla Model X Plaid,2021,,,,,,,,,1020.0,761.0,,,,,,,,power_output
Tesla,US,Model X Performance w/Ludicrous Mode,2020,Electric,,,,,10.92,,,,,,,,,,,,acceleration
Tesla,US,Model X Plaid,2021,Electric,2.3,,,,,,,,,,,,,,,,acceleration
Tesla,US,Roadster (mildly moist),,,,,,,,,,,,,,,,,87.2,"Series 12, Episode 07",top_gear
Toyota,JP,Avensis,,,,,,,,,,,,,,,,,105.0,"Series 01, Episode 04",top_gear
Toyota,JP,GR Supra (A90/J29),,,,,,,,,,,,,,472.17,2019-08-22,Christian Gebhardt,,,nurburgring
Toyota,JP,GR Supra Pro,,,,,,,,,,,,,,,,,83.2,—N/a,top_gear
Toyota,JP,GR Yaris,,,,,,,,,,,,,,,,,86.3,—N/a,top_gear
Toyota,JP,"GR Yaris (Mk4, XP210, 2021, 1.5 T, 261 PS)",,,,,,,,,,,,,,494.93,2021-04-07,Christian Gebhardt,,,nurburgring
Toyota,JP,GR86 (2023),,,,,,,,,,,,,,507.27,2022,Christian Gebhardt,,,nurburgring
Toyota,JP,"GT86 (Mk1, ZN6/ZC6, 2012, N/A 2.0, 200 PS)",,,,,,,,,,,,,,525.0,2013,Horst von Saurma,,,nurburgring
Toyota,JP,GT86 (partly wet),,,,,,,,,,,,,,,,,91.3,"Series 19, Episode 03",top_gear
Toyota,JP,Supra,,,,,,,,,,,,,,469.0,1997,Herbert Schürg,,,nurburgring
Toyota,JP,Supra MKV,,,,,,,,,,,,,,,,,83.1,"Series 27, Episode 05",top_gear
Toyota,JP,Supra Mk4,,,,,,,,,,,,,,,,,93.3,—N/a,top_gear
Toyota,JP,TMG EV P002,,,,,,,,,,,,,,442.329,2012-10-02,Jochen Krumbach,,,nurburgring
Tuthill,GB,911K,,,,,,,,,,,,,,,,,82.5,Stig Laps,top_gear
Tyrrell,GB,P34–Ford,,,,,,,,,,,,,,430.8,1976-08-01,Jody Scheckter,,,nurburgring
Volkswagen,DE,"Golf VII GTI TCR (Mk7, 2-nd facelift, 2019, 2.0 T 290 PS)",,,,,,,,,,,,,,484.92,2019-07-03,Christian Gebhardt,,,nurburgring
Vauxhall,GB,Astra VXR,,,,,,,,,,,,,,,,,88.3,"Series 19, Episode 04",top_gear
Vauxhall,GB,Astra VXR (Not Shown on TV),,,,,,,,,,,,,,,,,92.0,,top_gear
Vauxhall,GB,Corsa VXR Nurburgring (partly snowy),,,,,,,,,,,,,,,,,91.0,"Series 18, Episode 03",top_gear
Vauxhall,GB,Monaro VXR,,,,,,,,,,,,,,,,,90.1,"Series 06, Episode 11",top_gear
Vauxhall,GB,VX220 Turbo,,,,,,,,,,,,,,,,,91.3,"Series 02, Episode 06",top_gear
Vauxhall,GB,VXR8 (wet),,,,,,,,,,,,,,,,,91.3,"Series 10, Episode 08",top_gear
Vauxhall,GB,VXR8 Bathurst S,,,,,,,,,,,,,,,,,86.3,"Series 13, Episode 07",top_gear
Vauxhall,GB,Vectra VXR,,,,,,,,,,,,,,,,,95.3,"Series 08, Episode 06",top_gear
Vector,US,W8,1990,,,,,,,242.0,389.0,,,,"5,973 cc (364.5 cu in) twin-turbocharged V8 466 kW (634 PS; 625 hp)",,,,,,speed_records
Veritas,DE,RS III,,,,,,,,,,,,,,,,,84.2,"Series 12, Episode 06",top_gear
Volkswagen,DE,Golf GTI Clubsport Mk8,,,,,,,,,,,,,,,,,86.8,—N/a,top_gear
Volkswagen,DE,Golf GTI Clubsport S (2016),,,,,,,,,,,,,,467.19,2016-12-07,Benny Leuchter,,,nurburgring
Volkswagen,DE,Golf GTI Mk V Edition 30,,,,,,,,,,,,,,,,,92.6,—N/a,top_gear
Volkswagen,DE,Golf GTI Mk VI,,,,,,,,,,,,,,,,,92.6,—N/a,top_gear
Volkswagen,DE,Golf GTI Mk VII (Sport Mode),,,,,,,,,,,,,,,,,89.6,"Series 20, Episode 03",top_gear
Volkswagen,DE,Golf GTI Mk7 (very wet),,,,,,,,,,,,,,,,,99.3,"Series 25, Episode 04",top_gear
Volkswagen,DE,Golf GTI Mk7 (with performance pack),,,,,,,,,,,,,,,,,88.6,"Series 21, Episode 05",top_gear
Volkswagen,DE,Golf GTI W12-650 Concept,,,,,,,,,,,,,,,,,89.6,"Series 10, Episode 01",top_gear
Volkswagen,DE,"Golf IV GTI ""25 Jähre GTI"" (Mk4, 2002, 1.8T, 180 PS)",,,,,,,,,,,,,,534.0,2002,Horst von Saurma,,,nurburgring
Volkswagen,DE,"Golf IV R32 (Mk4, 2003)",,,,,,,,,,,,,,517.0,2003,Horst von Saurma,,,nurburgring
Volkswagen,DE,"Golf IV V6 4motion (Mk4, 2.8, 204 PS)",,,,,,,,,,,,,,549.0,2000,Horst von Saurma,,,nurburgring
Volkswagen,DE,Golf Mk.IV R32,,,,,,,,,,,,,,,,,93.3,"Series 01, Episode 09",top_gear
Volkswagen,DE,Golf Mk.V GTI,,,,,,,,,,,,,,,,,93.7,"Series 05, Episode 06",top_gear
Volkswagen,DE,Golf R32 mk.V,,,,,,,,,,,,,,,,,90.4,"Series 07, Episode 06",top_gear
Volkswagen,DE,"Golf V GTI DSG (Mk5, 2005, 200 PS)",,,,,,,,,,,,,,533.0,2005,Horst von Saurma,,,nurburgring
Volkswagen,DE,"Golf V R32 (Mk5, 2006)",,,,,,,,,,,,,,529.0,2006,Horst von Saurma,,,nurburgring
Volkswagen,DE,"Golf VI GTI ""35 Jähre GTI"" (Mk6, 2011, 2.0 T, 235 PS)",,,,,,,,,,,,,,518.0,2011,Horst von Saurma,,,nurburgring
Volkswagen,DE,"Golf VI R (Mk6, 2010)",,,,,,,,,,,,,,514.0,2010,Horst von Saurma,,,nurburgring
Volkswagen,DE,"Golf VII GTI Clubsport (Mk7, 2016, 2.0 T, 265 PS)",,,,,,,,,,,,,,487.0,2016,Christian Gebhardt,,,nurburgring
Volkswagen,DE,"Golf VII GTI Clubsport S (Mk7, 2016, 2.0 T, 310 PS)",,,,,,,,,,,,,,477.0,2016,Christian Gebhardt,,,nurburgring
Volkswagen,DE,"Golf VII GTI Performance (Mk7, pre-facelift, 2013, 2.0 T, 230 PS)",,,,,,,,,,,,,,509.0,2013,Horst von Saurma,,,nurburgring
Volkswagen,DE,"Golf VII R (Mk7, 1-st faselift, 2018, 310 PS)",,,,,,,,,,,,,,484.0,2018-06-27,Horst von Saurma,,,nurburgring
Volkswagen,DE,"Golf VII R (Mk7, pre-facelift, 2.0 T, 300 PS)",,,,,,,,,,,,,,495.1,2014,Horst von Saurma,,,nurburgring
Volkswagen,DE,"Golf VII R (Mk7, pre-facelift, 2013, 300 PS)",,,,,,,,,,,,,,494.0,2013,,,,nurburgring
Volkswagen,DE,"Golf VIII GTI Clubsport ""45 Jähre GTI"" (Mk8, 2021, 2.0 T, 300 PS)",,,,,,,,,,,,,,482.66,2021-10-06,Christian Gebhardt,,,nurburgring
Volkswagen,DE,"Golf VIII R ""20 Years"" (Mk8, 2023, 333 PS)",,,,,,,,,,,,,,473.69,2023,Christian Gebhardt,,,nurburgring
Volkswagen,DE,"Golf VIII R (Mk8, 2020, 320 PS)",,,,,,,,,,,,,,471.0,2020,Gerd Stegmaier,,,nurburgring
Volkswagen,DE,"Golf VIII R (Mk8, 2022, 320 PS)",,,,,,,,,,,,,,482.0,2022,Christian Gebhardt,,,nurburgring
Volkswagen,DE,"Golf VIII R 333 ""20 Years"" (Mk8, 333 PS, 2022)",,,,,,,,,,,,,,467.31,2022-09-21,Benjamin Leuchter,,,nurburgring
Volkswagen,DE,ID.R,,,,,,,,,,,,,,365.336,2019-06-03,Romain Dumas,,,nurburgring
Volkswagen,DE,Lupo GTI,,,,,,,,,,,,,,549.0,2002-09-29,Daniel Schwerfeld,,,nurburgring
Volkswagen,DE,Polo GTI (Mk4),,,,,,,,,,,,,,586.2,2007-06-29,Wolfgang Kaufmann,,,nurburgring
Volkswagen,DE,Scirocco 2.0 TSI,,,,,,,,,,,,,,527.0,2009-11-15,Bernt Bråten Andersen,,,nurburgring
Volkswagen,DE,Up! TSI (very wet),,,,,,,,,,,,,,,,,109.4,"Series 24, Episode 04",top_gear
Volvo,SE,S60 R,,,,,,,,,,,,,,,,,95.0,"Series 02, Episode 09",top_gear
Wiesmann,DE,GT MF5,,,,,,,,,,,,,,467.0,2010-07,Horst von Saurma,,,nurburgring
Wiesmann,DE,MF 3,,,,,,,,,,,,,,,,,87.9,"Series 06, Episode 03",top_gear
Xiaomi,CN,SU7 Ultra,2025,,,,,,,,,1526.0,1138.0,,,424.957,2025-04-01,Vincent Radermecker,,,"nurburgring, power_output"
Xiaomi,CN,SU7 Ultra Prototype,,,,,,,,,,,,,,382.091,2025-04-01,David Pittard,,,nurburgring
YANGWANG,CN,U9 Xtreme,,,,,,,,,,,,,,419.157,2025-08-22,Moritz Kranz,,,nurburgring
Yamaha,JP,YZF-R1,,,,,,,,,,,,,,430.0,n/a,,,,nurburgring
Yangwang,CN,U8,2023,,,,,,,,,1180.0,880.0,,,,,,,,power_output
Yangwang,CN,U9 Xtreme,2025,,,,,,,308.34,496.22,,,,"Four TZ240XYA electric motors 2,220 kW (3,018 PS; 2,977 hp)",,,,,,speed_records
Yangwang,CN,U9/Yangwang U7,2024,,,,,,,,,1287.0,960.0,,,,,,,,power_output
Zakspeed,DE,Capri Turbo,,,,,,,,,,,,,,466.3,1979-04-29,Hans Heyer,,,nurburgring
Zeekr,CN,001 FR,2023,,,,,,,,,1247.0,930.0,,,,,,,,power_output
Zenos,GB,E10 S (Mildly moist / Damp),,,,,,,,,,,,,,,,,85.1,"Series 23, Episode 05",top_gear
Zenvo,DK,ST1,2009,,,,,,,,,1089.0,812.0,,,,,,,,power_output
Zenvo,DK,ST1 (very wet),,,,,,,,,,,,,,,,,89.9,"Series 21, Episode 03",top_gear
Zenvo,DK,TSR-S,2018,,,,,,,,,1177.0,878.0,,,,,,,,power_output
Porsche,DE,Taycan Turbo S,2020,Electric,2.4,2.6,,,10.3,,,,,,,,,,77.6,"Series 28, Episode 03","acceleration,top_gear"
80,,Napier,1908,,,,,,,,,90.0,67.0,,,,,,,,power_output
Iso,IT,tta Fraschini Tipo KM,1910,,,,,,,,,119.0,89.0,,,,,,,,power_output
Dodge,US,Viper ACR (2010),,,,,,,,,,,,,,432.13,2011-09-14,Dominik Farnbacher,,,nurburgring
Dodge,US,Viper ACR (2009),,,,,,,,,,,,,,442.1,2008-08-18,Tom Coronel,,,nurburgring
Nissan,JP,GT-R (2011),,,,,,,,,,,,,,444.22,2010-10-01,Toshio Suzuki,,,nurburgring
Pagani,IT,Zonda F Clubsport,,,,,,,,,,,,,,444.44,2008-08,Marc Basseng,,,nurburgring
Chevrolet,US,Corvette C6 ZR1 (2009),,,,,,,,,,,,,,446.4,2008-06-27,Jim Mero,,,nurburgring
Nissan,JP,GT-R (2009),,,,,,,,,,,,,,446.7,2009-04-23,Toshio Suzuki,,,nurburgring
Chevrolet,US,Corvette C6 ZR1,,,,,,,,,,,,,,458.0,2009-10,Horst von Saurma,,,nurburgring
Nissan,JP,GT-R,,,,,,,,,,,,,,458.0,2009,Horst von Saurma,79.7,"Series 11, Episode 05","nurburgring,top_gear"
Chevrolet,US,Camaro ZL1 (2012),,,,,,,,,,,,,,461.27,2011-10,Aaron Link,,,nurburgring
Volkswagen,DE,Golf GTI Clubsport S,,,,,,,,,,,,,,469.21,2016-04-20,Benny Leuchter,,,nurburgring
VW,,"Golf VII GTI TCR (Mk7, 2-nd facelift, 2019, 2.0 T 290 PS)",,,,,,,,,,,,,,484.92,2019-07-03,Christian Gebhardt,,,nurburgring
Toyota,JP,"Yaris GRMN (Mk3, XP13, 2019, S/C 1.8, 212 PS)",,,,,,,,,,,,,,8.44,2019-04-09,Christian Gebhardt,,,nurburgring
Trabant,,P50,,,,,,,,,,,,,,961.0,1960-04,Factory team of VEB Sachsenring,,,nurburgring
Dodge,US,Viper ACR,,,,,,,,,,,,,,,,,75.1,"Series 23, Episode 01",top_gear
Nissan,JP,GT-R (2012),,,,,,,,,,,,,,,,,77.8,"Series 17, Episode 04",top_gear
Aston Martin,GB,V8 Vantage,,,,,,,,,,,,,,,,,79.7,"Series 26, Episode 05",top_gear
Alfa Romeo,IT,Giulia Quadrifoglio,,,,,,,,,,,,,,,,,81.4,"Series 24, Episode 02",top_gear
Chevrolet,US,Corvette C6 Z06,,,,,,,,,,,,,,,,,82.4,"Series 08, Episode 02",top_gear
Chevrolet,US,Camaro SS,,,,,,,,,,,,,,,,,87.9,"Series 15, Episode 03",top_gear
Renault,FR,sport Clio 200,,,,,,,,,,,,,,,,,92.0,"Series 20, Episode 01",top_gear
Renault,FR,sport Mégane 225 Cup,,,,,,,,,,,,,,,,,92.3,"Series 06, Episode 09",top_gear
MINI,,Cooper S Works,,,,,,,,,,,,,,,,,94.2,"Series 05, Episode 06",top_gear
Porsche,DE,Pain Au Chocolat (foot pedalled by Richard Hammond),,,,,,,,,,,,,,,,,1117.0,"Series 15, Episode 05",top_gear
