url,year,make,model,vehicle_type,base_price,as_tested_price,engine_type,displacement,power_hp,power_rpm,torque_lb_ft,torque_rpm,transmission,wheelbase,length,width,height,curb_weight,zero_to_60_mph,zero_to_100_mph,quarter_mile_time,quarter_mile_speed,top_speed,braking_70_0,braking_100_0,skidpad_g,rolling_start_5_60,top_gear_30_50,top_gear_50_70,fuel_economy_combined,fuel_economy_city,fuel_economy_highway,fuel_economy_observed,ev_range,is_estimated
https://www.caranddriver.com/reviews/a15095706/2018-mercedes-benz-gla-class-first-drive-review/,2018,Mercedes Benz,Gla Class First Drive,"front-engine, front- or all-wheel-drive, 5-passenger, 4-door hatchback",106,,"turbocharged and intercooled DOHC 16-valve inline-4, aluminum block and head, direct fuel injection",,208,5500,258,1250,7-speed dual-clutch automatic with manual shifting mode,106.3,173.9,71.0,60.0,3350,6.0,16.8,14.6,,130,,,,,,,,,,,,yes
https://www.caranddriver.com/reviews/a15095743/chevrolet-colorado-zh2-prototype-first-ride-review/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.caranddriver.com/reviews/a15095752/2017-cadillac-cts-v-sport-tested-review/,2017,Cadillac Cts,V Sport Tested,"front-engine, rear-wheel-drive, 5-passenger, 4-door sedan",61690,75885,"twin-turbocharged and intercooled DOHC 24-valve V-6, aluminum block and heads, direct fuel injection",,420,5750,430,3500,8-speed automatic with manual shifting mode,114.6,195.5,72.2,57.2,4025,4.5,10.3,12.9,112,,157,,0.93,5.2,2.6,3.3,,,,18,,yes
https://www.caranddriver.com/reviews/a15095814/2018-bmw-530e-plug-in-hybrid-first-drive-review/,2018,Bmw,530E Plug In Hybrid First Drive,"front-engine, front-motor, rear- or all-wheel-drive, 5-passenger, 4-door sedan",117,,"turbocharged and intercooled DOHC 16-valve 2.0-liter inline-4, 180 hp, 255 lb-ft; permanent-magnet synchronous AC motor, 111 hp, 184 lb-ft; combined output, 248 hp, 310 lb-ft; 9.2-kWh lithium-ion battery pack",,,,,,8-speed automatic with manual shifting mode,117.1,194.6,73.5,58.4,4300,5.8,15.5,14.5,,130,,,,,,,,,,,,yes
https://www.caranddriver.com/reviews/a15095816/2017-nissan-sentra-nismo-test-review/,2017,Nissan Sentra,Nismo Test,"front-engine, front-wheel-drive, 5-passenger, 4-door sedan",25855,27570,"turbocharged and intercooled DOHC 16-valve inline-4, aluminum block and head, direct fuel injection",,188,5600,177,1600,6-speed manual,106.3,183.6,69.3,58.9,3043,7.0,17.5,15.4,94,,156,,0.88,7.9,11.2,10.9,,,,25,,yes
https://www.caranddriver.com/reviews/a15095872/2017-porsche-boxster-718-manual-tested-review/,2017,Porsche Boxster,718 Manual Tested,"mid-engine, rear-wheel-drive, 2-passenger, 2-door convertible",57040,73040,"turbocharged and intercooled DOHC 16-valve flat-4, aluminum block and heads, direct fuel injection",,300,6500,280,1950,6-speed manual,97.4,172.4,70.9,50.4,3059,4.4,10.6,13.0,109,,145,,1.01,5.9,9.6,6.0,,,,19,,yes
https://www.caranddriver.com/reviews/a15095900/2017-ford-gt-supercar-first-ride-review/,2017,Ford Gt,Supercar First Ride,"mid-engine, rear-wheel-drive, 2-passenger, 2-door coupe",450000,,"twin-turbocharged and intercooled DOHC 24-valve V-6, aluminum block and heads, port and direct fuel injection",,647,6250,550,5900,7-speed dual-clutch automatic with manual shifting mode,106.7,187.5,78.9,43.7,3250,2.9,5.7,10.6,,216,,,,,,,,,,,,yes
https://www.caranddriver.com/reviews/a15095920/2017-audi-rs7-performance-test-review/,2017,Audi,Rs7 Performance Test,"front-engine, all-wheel-drive, 4-passenger, 4-door hatchback",130450,136975,"twin-turbocharged and intercooled DOHC 32-valve V-8, aluminum block and heads, direct fuel injection",244,605,6100,516,1750,8-speed automatic with manual shifting mode,114.8,197.3,75.2,55.9,4487,3.2,7.3,11.3,125,,160,,0.94,4.1,2.1,2.5,,,,16,,yes
https://www.caranddriver.com/reviews/a15096021/2017-chevrolet-cruze-hatchback-automatic-test-review/,2017,Chevrolet Cruze,Hatchback Automatic Test,"front-engine, front-wheel-drive, 5-passenger, 4-door hatchback",22795,26475,"turbocharged and intercooled DOHC 16-valve inline-4, aluminum block and head, direct fuel injection",,153,5600,177,2000,6-speed automatic,106.3,175.3,70.5,57.7,2959,7.7,23.3,16.0,87,,161,,0.87,8.2,4.2,5.4,,,,28,,yes
https://www.caranddriver.com/reviews/a15096075/2017-ford-focus-rs-mountune-drive-review/,2017,Ford,Focus RS Mountune Drive |,"front-engine, all-wheel-drive, 5-passenger, 4-door hatchback",104,,"turbocharged and intercooled DOHC 16-valve inline-4, aluminum block and head, direct fuel injection",138,370,6000,376,2000,6-speed manual,104.3,172.8,71.8,58.0,3450,4.4,12.9,13.3,,165,,,,,,,,,,,,yes
https://www.caranddriver.com/reviews/a15096088/2017-volkswagen-golf-gti-tested-review/,2017,Volkswagen Golf,Gti Tested,"front-engine, front-wheel-drive, 5-passenger, 4-door hatchback",26415,28815,"turbocharged and intercooled DOHC 16-valve inline-4, iron block and aluminum head, direct fuel injection",,220,4700,258,1500,6-speed manual,103.6,168.0,70.8,56.8,3116,5.9,14.6,14.6,100,,154,,0.94,6.5,11.7,7.8,,,,27,,yes
https://www.caranddriver.com/reviews/a15096095/2017-jaguar-xe-35t-awd-test-review/,2017,Jaguar,XE 35t AWD Test |,"front-engine, all-wheel-drive, 5-passenger, 4-door sedan",52695,64085,"supercharged and intercooled DOHC 24-valve V-6, aluminum block and heads, direct fuel injection",183,340,6500,332,4500,8-speed automatic with manual shifting mode,111.6,183.9,72.8,55.7,4061,5.1,12.3,13.5,105,,170,,0.87,5.4,3.3,4.0,,,,20,,yes
https://www.caranddriver.com/reviews/a15096118/2017-bmw-540i-xdrive-test-review/,2017,BMW,540i xDrive Test |,"front-engine, all-wheel-drive, 5-passenger, 4-door sedan",59745,82360,"turbocharged and intercooled DOHC 24-valve inline-6, aluminum block and head, direct fuel injection",,335,6500,332,1380,8-speed automatic with manual shifting mode,117.1,194.6,73.5,58.2,4171,4.5,11.0,13.1,108,,169,,0.88,5.1,2.8,3.2,,,,21,,yes
https://www.caranddriver.com/reviews/a15096135/2017-honda-civic-hatchback-cvt-automatic-review/,2017,Honda Civic,Hatchback Cvt Automatic,"front-engine, front-wheel-drive, 5-passenger, 4-door hatchback",21375,29175,"turbocharged and intercooled DOHC 16-valve inline-4, aluminum block and head, direct fuel injection",,180,6000,162,1700,continuously variable automatic,106.3,177.9,70.8,56.3,3007,6.9,18.5,15.4,93,,166,,0.90,7.3,3.9,4.8,,,,27,,yes
https://www.caranddriver.com/reviews/a15096162/2018-bmw-m5-prototype-drive-review/,2018,Bmw,M5 Prototype Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.caranddriver.com/reviews/a15096245/2017-porsche-911-carrera-4s-targa-automatic-test-review/,2017,Porsche,911 Carrera 4S Targa Automatic Test |,"rear-engine, all-wheel-drive, 2+2-passenger, 2-door targa",123650,149970,"twin-turbocharged and intercooled DOHC 24-valve flat-6, aluminum block and heads, direct fuel injection",182,420,6500,369,1700,7-speed dual-clutch automatic with manual shifting mode,96.5,177.1,72.9,50.9,3687,3.3,8.1,11.7,119,,143,,1.04,4.3,2.5,2.6,,,,,,yes
https://www.caranddriver.com/reviews/a15096269/2017-toyota-highlander-hybrid-awd-test-review/,2017,Toyota Highlander,Hybrid Awd Test,"front-engine, all-wheel-drive, 7-passenger, 4-door hatchback",37230,46154,"DOHC 24-valve Atkinson-cycle 3.5-liter V-6, 295 hp, 263 lb-ft; front axle permanent-magnet synchronous AC motor, 167 hp, 247 lb-ft; rear axle permanent-magnet synchronous AC motor, 68 hp, 103 lb-ft; combined output, 306 hp",,,,,,continuously variable automatic with manual shifting mode,109.8,192.5,75.8,70.1,4891,7.0,17.2,15.4,94,,183,,0.77,7.3,3.6,4.3,,,,23,,yes
https://www.caranddriver.com/reviews/a15096293/2018-honda-odyssey-first-drive-review/,2018,Honda Odyssey,First Drive,"front-engine, front-wheel-drive, 7- or 8-passenger, 4-door van",118,,"SOHC 24-valve V-6, aluminum block and heads, direct fuel injection",,280,6000,262,4700,S,118.1,203.2,78.5,,4400,6.5,16.4,15.1,,112,,,,,,,22,19,28,,,yes
https://www.caranddriver.com/reviews/a15096312/2017-honda-civic-hatchback-15t-manual-test-review/,2017,Honda Civic,Hatchback 15T Manual Test,"front-engine, front-wheel-drive, 5-passenger, 4-door hatchback",22175,22175,"turbocharged and intercooled DOHC 16-valve inline-4, aluminum block and head, direct fuel injection",,180,5500,177,1900,6-speed manual,106.3,177.9,70.8,56.3,2868,7.0,17.0,15.2,94,,160,,0.93,7.7,11.7,8.5,33,30,39,31,,yes
https://www.caranddriver.com/reviews/a15096318/2017-volkswagen-touareg-review/,2017,Volkswagen Touareg,Review,"front-engine, all-wheel-drive, 5-passenger, 4-door hatchback",113,,"DOHC 24-valve 3.6-liter V-6, iron block and aluminum head, direct fuel injection",,280,6200,266,2500,8-speed automatic with manual shifting mode,113.9,188.8,76.4,68.2,4900,7.8,20.7,15.9,88,,185,,0.80,8.2,3.8,5.5,,,,,,yes
https://www.caranddriver.com/reviews/a15096341/2017-hyundai-ioniq-hybrid-first-drive-review/,2017,Hyundai Ioniq,Hybrid First Drive,"front-engine, front-wheel-drive, 5-passenger, 4-door hatchback",106,,"DOHC 16-valve Atkinson-cycle 1.6-liter inline-4, 104 hp, 109 lb-ft; permanent-magnet synchronous AC motor/generator, 43 hp, 125 lb-ft; combined output, 139 hp, 195 lb-ft; 1.6-kWh lithium-ion battery pack",,,,,,6-speed dual-clutch automatic with manual shifting mode,106.3,176.0,71.7,56.9,3100,10.5,32.0,17.9,,115,,,,,,,,,,,,yes
